t  ,GAS_PRICE ,POWER_PRICE ,HEAT_PRICE ,heat_demand        ,chp1.bin ,chp1.power        ,chp1.gas          ,chp1.heat ,chp1.eta_th        ,chp1.eta_el        ,chp1.y1 ,chp1.y2 ,chp2.bin ,chp2.power ,chp2.gas ,chp2.heat ,chp2.eta_th ,chp2.eta_el ,chp2.y1 ,chp2.y2 ,boiler1.bin ,boiler1.heat       ,boiler1.gas        ,boiler1.eta_th     ,boiler1.y1 ,boiler1.y2 ,heat_storage1.heat_charge ,heat_storage1.bin_charge ,heat_storage1.heat_discharge ,heat_storage1.bin_discharge ,heat_storage1.heat_balance ,heat_storage1.heat_capacity ,ngas_grid.gas_balance ,power_grid.power_balance ,power_grid.power_supply ,power_grid.power_feedin ,heat_grid.heat_balance ,heat_grid.heat_supply ,heat_grid.heat_feedin ,arc01_expanded.power ,arc02_expanded.heat ,arc03_expanded.power ,arc04_expanded.heat ,arc05_expanded.heat ,arc06_expanded.heat ,arc07_expanded.gas ,arc08_expanded.gas
 1 ,   0.1543 ,      0.105 ,      0.05 , 86.89020582132288 ,     1.0 ,26.37216828479044 ,93.85113268603692 ,     58.0 ,0.6179999999651697 ,0.2810000000106162 ,    1.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 , 86.89020582132288 , 79.91063924673442 ,1.0876764245492014 ,       1.0 ,       0.0 ,                     58.0 ,                     1.0 ,          0.0                ,                        1.0 ,-58.0                      ,         58.0               ,   173.76177193277135 ,-26.37216828479044       ,                    0.0 ,      26.37216828479044 ,                   0.0 ,    86.89020582132288 ,    86.89020582132288 ,   26.37216828479044 ,               58.0 ,                 0.0 ,                0.0 , 0.0                ,  86.89020582132288 , 79.91063924673442 , 93.85113268603692
 2 ,   0.1543 ,      0.105 ,      0.05 ,102.67012913651094 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,102.67012913651094 , 94.86534409130634 ,1.0846554932839063 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         58.0               ,    94.86534409130634 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   102.67012913651094 ,   102.67012913651094 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 102.67012913651094 , 94.86534409130634 ,  0.0
 3 ,   0.1543 ,      0.105 ,      0.05 ,197.10818009752964 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,174.0              ,162.46498599439482 ,1.070999999987968  ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,         23.10818009752964   ,                        1.0 ,23.10818009752964          ,         34.89181990247027  ,   162.46498599439482 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   197.10818009752964 ,   197.10818009752964 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 ,23.10818009752964   , 174.0              ,162.46498599439482 ,  0.0
 4 ,   0.1543 ,      0.105 ,      0.05 ,131.41110425250923 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,131.41110425250923 ,122.10329647040626 ,1.079153279579267  ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   122.10329647040626 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   131.41110425250923 ,   131.41110425250923 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 131.41110425250923 ,122.10329647040626 ,  0.0
 5 ,   0.1543 ,      0.105 ,      0.05 ,134.36278677058627 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,134.36278677058627 ,124.90061937059039 ,1.0785882052233289 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   124.90061937059039 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   134.36278677058627 ,   134.36278677058627 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 134.36278677058627 ,124.90061937059039 ,  0.0
 6 ,   0.1543 ,      0.105 ,      0.05 ,133.35488413447985 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,133.35488413447985 ,123.94542547427214 ,1.0787811595568177 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   123.94542547427214 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   133.35488413447985 ,   133.35488413447985 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 133.35488413447985 ,123.94542547427214 ,  0.0
 7 ,   0.1543 ,      0.105 ,      0.05 ,148.67082790766605 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,148.67082790766605 ,138.46041480401144 ,1.075849053203843  ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   138.46041480401144 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   148.67082790766605 ,   148.67082790766605 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 148.67082790766605 ,138.46041480401144 ,  0.0
 8 ,   0.1543 ,      0.105 ,      0.05 ,155.76612945938308 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,155.76612945938308 ,145.1846642423489  ,1.0744907184473205 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   145.1846642423489  ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   155.76612945938308 ,   155.76612945938308 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 155.76612945938308 ,145.1846642423489  ,  0.0
 9 ,   0.1543 ,      0.105 ,      0.05 ,149.41335246313022 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,149.41335246313022 ,139.16410869054167 ,1.0757069032326392 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   139.16410869054167 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   149.41335246313022 ,   149.41335246313022 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 149.41335246313022 ,139.16410869054167 ,  0.0
10 ,   0.1543 ,      0.105 ,      0.05 ,132.52799498318225 ,     0.0 , 0.0              , 0.0              ,      0.0 ,0.0                ,0.0                ,    0.0 ,    0.0 ,     0.0 ,       0.0 ,     0.0 ,      0.0 ,        0.0 ,        0.0 ,    0.0 ,    0.0 ,        1.0 ,132.52799498318225 ,123.16177887790802 ,1.0789394604078544 ,       1.0 ,       0.0 ,                      0.0 ,                     1.0 ,          0.0                ,                        1.0 ,0.0                        ,         34.89181990247027  ,   123.16177887790802 ,0.0                      ,                    0.0 ,       0.0              ,                   0.0 ,   132.52799498318225 ,   132.52799498318225 ,    0.0              ,                0.0 ,                 0.0 ,                0.0 , 0.0                , 132.52799498318225 ,123.16177887790802 ,  0.0
